motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
SOX5.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
SOX8.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;CREB3L4;\ldots
SRY.B,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
TBP.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
TEF.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
TF7L1.B,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
TWST1.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
UNC4.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
VAX1.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
VSX1.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
ZFHX3.D,HOMEZ,NA,HOMEZ,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
ZIM3.C,OVOL2,ZNF263,OVOL2;ZNF263;ZNF281;ZSCAN16;OVOL1,ZNF263;ZSCAN16,FOXA1;GATA3;ESR1;RARA;CXXC5;\ldots
ZN136.C,OVOL2,NA,OVOL2;ZNF263;ZNF281;ZSCAN16;OVOL1,NA,FOXA1;GATA3;ESR1;RARA;CXXC5;\ldots
ZN232.D,OVOL2,ZKSCAN1,OVOL2;ZNF281;ZNF263;ZSCAN16;OVOL1;ZKSCAN1,ZKSCAN1,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
ZN250.C,OVOL2,ZNF263,OVOL2;ZNF263;ZNF281;MZF1;ZSCAN16;ZKSCAN1,ZNF263;MZF1;ZSCAN16,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
ZN264.C,OVOL2,NA,OVOL2;ZNF263;ZNF281;ZSCAN16;OVOL1,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
ZN282.D,OVOL2,NA,OVOL2;ZNF263;ZNF281;ZSCAN16;ZKSCAN1,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
ZN333.D,OVOL2,NA,OVOL2;ZNF263;ZNF281;ZKSCAN1;MZF1,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
ZNF85.C,OVOL2,ZNF263,OVOL2;ZNF263;ZNF281;ZSCAN16;MZF1,ZNF263;ZSCAN16;MZF1,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
ZNF851.C,OVOL2,ZNF263,OVOL2;ZNF263;ZNF281;ZKSCAN1;OVOL1;ZSCAN16,ZNF263;ZSCAN16,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
ZSC16.D,OVOL2,ZNF263,OVOL2;ZNF281;ZNF263;OVOL1;ZSCAN16;ZKSCAN1,ZNF263;ZSCAN16,FOXA1;GATA3;ESR1;RARA;CXXC5;\ldots
