Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg14058239,ENSG00000141424,SLC39A6,0,R1,5.17e-56,9.99e-5
cg14986386,ENSG00000183323,CCDC125,0,L2,3.26e-55,9.99e-5
cg04723436,ENSG00000107485,GATA3,110455,R3,6.00e-55,4.9.99e-4
cg12633764,ENSG00000279685,MAPT-IT1,2591,L1,4.43e-54,9.99e-5

